timestamp,entity,recordId,recordName,existing_containerid,existing_indexname,derived_container,derived_index,source,action,message
2026-06-08T03:35:33.4492385Z,sprk_matter,fec90ad3-2d60-f111-ab0b-7c1e521b425f,Test New Matter via Workspace,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:33.9875479Z,sprk_matter,375fa95a-3060-f111-ab0b-7c1e521b425f,Test New Matter via Workspace,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:34.6774467Z,sprk_matter,f69949f1-ee60-f111-ab0b-7c1e521b425f,Integrated Intellectual Asset Management System Patent,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:34.8615259Z,sprk_matter,fa328db3-795f-f111-ab0c-7c1e521b425f,Test New Matter via Workspace,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:35.0549645Z,sprk_matter,89433cdb-d218-f111-8342-7c1e525abd8b,Litigation matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,"container=preserve index=fill childCount=4, uniqueDrives=4"
2026-06-08T03:35:35.2454659Z,sprk_matter,7ae6c387-b053-f111-a825-7c1e525abd8b,Test New Matter via Workspace,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:35.6201889Z,sprk_matter,39cde3e3-9d15-f111-8343-7ced8d1dc988,Litigation matter,,,b!vzGDfDpd7km_-_H38Q6ZfbotQXLPXF9Ci71VoQmIOHUKlvxOqBsHQLrROZ5KySLh,spaarke-file-index,bu-fallback,would-fill,container=fill index=fill childCount=0
2026-06-08T03:35:35.8028468Z,sprk_matter,86335ce3-4c18-f111-8343-7ced8d1dc988,Litigation matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,"container=preserve index=fill childCount=2, uniqueDrives=2"
2026-06-08T03:35:35.9978655Z,sprk_matter,3dcde96d-a318-f111-8343-7ced8d1dc988,Commercial matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,"container=preserve index=fill childCount=3, uniqueDrives=3"
2026-06-08T03:35:36.1837167Z,sprk_matter,03db50f0-7b19-f111-8343-7ced8d1dc988,Commercial matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:36.4064801Z,sprk_matter,ee36ee3f-8a19-f111-8343-7ced8d1dc988,Commercial matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,container=preserve index=fill childCount=1
2026-06-08T03:35:36.5887993Z,sprk_matter,cdec8abd-8e19-f111-8343-7ced8d1dc988,Commercial matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,"container=preserve index=fill childCount=3, uniqueDrives=3"
2026-06-08T03:35:36.7752289Z,sprk_matter,504c5276-8f19-f111-8343-7ced8d1dc988,Commercial matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,"container=preserve index=fill childCount=2, uniqueDrives=2"
2026-06-08T03:35:36.9565154Z,sprk_matter,2444af6d-e1f2-f011-8406-7ced8d1dc988,Real estate transaction analysis,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,"container=preserve index=fill childCount=9, uniqueDrives=9"
2026-06-08T03:35:37.1402365Z,sprk_matter,1e992cc9-851e-f111-88b3-7ced8d1dc988,Commercial matter,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,,b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50,spaarke-knowledge-index-v2,doc-mode,would-fill,container=preserve index=fill childCount=1
